Id,Area,Type,Bedrooms,Floors,Parking,YearBuilt,Range,Location,Condition,Garage, Price 
I0001,1360,2 BHK,2,3,Yes,1970,1961-1980,Downtown,Excellent,No," $1,49,919.00 "
I0002,4272,4 BHK,4,3,Yes,1958,1941-1960,Downtown,Excellent,No," $4,24,998.00 "
I0003,3592,4 BHK,4,3,Yes,1938,1921-1940,Downtown,Good,No," $2,66,746.00 "
I0004,966,2 BHK,2,2,No,1902,1900-1920,Suburban,Fair,Yes," $2,44,020.00 "
I0005,4926,4 BHK,4,2,No,1975,1961-1980,Downtown,Fair,Yes," $6,36,056.00 "
I0006,3944,4 BHK,4,1,No,1906,1900-1920,Urban,Poor,No," $93,262.00 "
I0007,3671,4 BHK,4,2,No,1948,1941-1960,Rural,Poor,Yes," $4,48,722.00 "
I0008,3419,4 BHK,4,1,No,1925,1921-1940,Suburban,Good,Yes," $5,94,893.00 "
I0009,630,1 BHK,1,1,No,1932,1921-1940,Rural,Poor,Yes," $6,52,878.00 "
I0010,2185,3 BHK,3,1,No,2000,1981-2000,Downtown,Poor,No," $3,40,375.00 "
I0011,1269,2 BHK,2,2,No,1947,1941-1960,Suburban,Poor,Yes," $6,53,685.00 "
I0012,2891,4 BHK,4,3,Yes,1978,1961-1980,Urban,Excellent,Yes," $1,27,123.00 "
I0013,2933,4 BHK,4,2,No,1901,1900-1920,Downtown,Poor,No," $8,49,947.00 "
I0014,1684,3 BHK,3,1,No,2004,2001-2020,Rural,Good,No," $3,99,355.00 "
I0015,3885,4 BHK,4,1,No,1970,1961-1980,Urban,Fair,Yes," $4,81,838.00 "
I0016,4617,4 BHK,4,2,No,1931,1921-1940,Downtown,Poor,No," $8,53,032.00 "
I0017,3404,4 BHK,4,1,No,1903,1900-1920,Urban,Fair,Yes," $2,08,964.00 "
I0018,974,2 BHK,2,1,No,1919,1900-1920,Downtown,Poor,Yes," $9,05,742.00 "
I0019,1582,2 BHK,2,2,No,2013,2001-2020,Suburban,Good,No," $9,89,305.00 "
I0020,3058,4 BHK,4,2,No,2016,2001-2020,Downtown,Excellent,No," $2,18,767.00 "
I0021,2547,4 BHK,4,2,No,1935,1921-1940,Suburban,Good,Yes," $9,96,357.00 "
I0022,3247,4 BHK,4,1,No,1931,1921-1940,Downtown,Excellent,No," $7,09,789.00 "
I0023,1475,2 BHK,2,1,No,1927,1921-1940,Downtown,Poor,No," $7,09,966.00 "
I0024,2306,3 BHK,3,3,Yes,1976,1961-1980,Rural,Poor,Yes," $4,47,694.00 "
I0025,689,1 BHK,1,3,Yes,1900,1900-1920,Urban,Excellent,Yes," $6,88,668.00 "
I0026,3234,4 BHK,4,2,No,1959,1941-1960,Urban,Good,Yes," $5,27,032.00 "
I0027,3505,4 BHK,4,3,Yes,1955,1941-1960,Urban,Good,Yes," $7,45,494.00 "
I0028,2399,3 BHK,3,1,No,1934,1921-1940,Downtown,Excellent,Yes," $5,13,179.00 "
I0029,1767,3 BHK,3,3,Yes,2011,2001-2020,Downtown,Poor,Yes," $9,48,212.00 "
I0030,2028,3 BHK,3,1,No,1929,1921-1940,Downtown,Excellent,No," $2,06,547.00 "
I0031,3702,4 BHK,4,2,No,1953,1941-1960,Suburban,Poor,No," $9,02,609.00 "
I0032,4056,4 BHK,4,2,No,1935,1921-1940,Suburban,Excellent,Yes," $7,27,090.00 "
I0033,4390,4 BHK,4,1,No,2020,2001-2020,Rural,Poor,No," $2,02,185.00 "
I0034,1146,2 BHK,2,3,Yes,1954,1941-1960,Downtown,Excellent,No," $7,25,371.00 "
I0035,3388,4 BHK,4,2,No,1988,1981-2000,Urban,Fair,Yes," $1,05,746.00 "
I0036,2935,4 BHK,4,2,No,1979,1961-1980,Urban,Poor,No," $9,59,507.00 "
I0037,1100,2 BHK,2,3,Yes,1957,1941-1960,Rural,Good,No," $7,48,213.00 "
I0038,2863,4 BHK,4,3,Yes,1982,1981-2000,Urban,Excellent,Yes," $9,21,627.00 "
I0039,2561,4 BHK,4,1,No,1964,1961-1980,Rural,Good,No," $8,73,250.00 "
I0040,741,1 BHK,1,3,Yes,1968,1961-1980,Downtown,Excellent,No," $2,18,393.00 "
I0041,2541,4 BHK,4,3,Yes,1950,1941-1960,Urban,Good,Yes," $3,33,453.00 "
I0042,3324,4 BHK,4,3,Yes,1921,1921-1940,Downtown,Good,No," $9,86,192.00 "
I0043,3112,4 BHK,4,1,No,1987,1981-2000,Suburban,Excellent,No," $3,40,320.00 "
I0044,1863,3 BHK,3,1,No,2006,2001-2020,Urban,Excellent,No," $6,43,167.00 "
I0045,1978,3 BHK,3,2,No,2008,2001-2020,Suburban,Good,Yes," $6,41,880.00 "
I0046,3056,4 BHK,4,1,No,2015,2001-2020,Urban,Good,Yes," $3,96,872.00 "
I0047,1275,2 BHK,2,2,No,2000,1981-2000,Downtown,Good,No," $2,70,084.00 "
I0048,4514,4 BHK,4,3,Yes,1952,1941-1960,Rural,Poor,No," $9,76,920.00 "
I0049,534,1 BHK,1,2,No,1999,1981-2000,Downtown,Poor,Yes," $7,71,782.00 "
I0050,3652,4 BHK,4,2,No,1935,1921-1940,Downtown,Fair,Yes," $8,45,016.00 "
I0051,2455,3 BHK,3,3,Yes,1967,1961-1980,Downtown,Poor,No," $6,98,843.00 "
I0052,2085,3 BHK,3,2,No,1935,1921-1940,Urban,Poor,Yes," $4,05,446.00 "
I0053,4443,4 BHK,4,1,No,1951,1941-1960,Rural,Excellent,No," $9,58,840.00 "
I0054,3573,4 BHK,4,1,No,1952,1941-1960,Suburban,Fair,No," $5,93,118.00 "
I0055,1521,2 BHK,2,1,No,1981,1981-2000,Downtown,Fair,Yes," $2,66,897.00 "
